u,v,key,osmid,highway,oneway,length,geometry,lanes,name,maxspeed,access,service,ref,bridge,width,junction,tunnel
268431250,268432444,0,332496065,trunk,False,110.106,"LINESTRING (123.3092094 9.311470699999999, 123.3091766 9.311417799999999, 123.309171 9.311384, 123.3091658 9.3113525, 123.3092566 9.3106709, 123.3092555 9.310583100000001, 123.3092158 9.3105057)",2,Rizal Avenue,40,,,714,,,,
268431344,1795617692,0,168277972,residential,False,97.724,"LINESTRING (123.2928245 9.3193673, 123.2928341 9.3202461)",,Saint Anthony,,,,,,,,
268431344,2544479439,0,24695683,secondary,False,67.2,"LINESTRING (123.2928245 9.3193673, 123.2929857 9.3193509, 123.2934358 9.3193664)",2,E. J. Blanco,,,,,,,,
268431344,1795617681,0,24695683,secondary,False,51.905,"LINESTRING (123.2928245 9.3193673, 123.2926859 9.319405100000001, 123.2923795 9.319523999999999)",2,E. J. Blanco,,,,,,,,
268431360,816253593,0,24695670,tertiary,False,4.282,"LINESTRING (123.2950897 9.295064999999999, 123.2950596 9.2950895)",2,Mangnao-Bagacay,,,,,,,,
268431360,6711091675,0,713806810,residential,False,51.189,"LINESTRING (123.2950897 9.295064999999999, 123.2950335 9.294608)",,,,,,,,,,
268431360,5827129676,0,24695670,tertiary,False,256.19,"LINESTRING (123.2950897 9.295064999999999, 123.2951945 9.2950272, 123.2954718 9.2949489, 123.2956555 9.2949102, 123.2958122 9.2948872, 123.2958869 9.294884700000001, 123.2959519 9.294893200000001, 123.2961047 9.294923199999999, 123.2961561 9.2949205, 123.2962011 9.294908400000001, 123.2962437 9.2948872, 123.2962893 9.294848500000001, 123.2963353 9.294797600000001, 123.2964567 9.294624300000001, 123.2965045 9.2945609, 123.2965582 9.2945049, 123.2966055 9.294463, 123.2966535 9.2944294, 123.2967126 9.2944002, 123.2967783 9.2943848, 123.2968742 9.294377300000001, 123.2969758 9.2943736, 123.2970757 9.2943789, 123.2971667 9.2943886)",2,Mangnao-Bagacay,,,,,,,,
268431361,8741546665,0,181689019,residential,False,59.622,"LINESTRING (123.2918391 9.308378100000001, 123.2916333 9.308282200000001, 123.2914515 9.308175200000001, 123.2913638 9.308119899999999)",,,,,,,,,,
268431361,453307685,0,290356999,secondary,False,55.953,"LINESTRING (123.2918391 9.308378100000001, 123.2920422 9.308248300000001, 123.2923031 9.308188100000001)",2,Palinpinon Road,,,,,,,,
268431361,8396241273,0,290356999,secondary,False,121.59100000000001,"LINESTRING (123.2918391 9.308378100000001, 123.2917315 9.308471300000001, 123.2911998 9.3092659)",2,Palinpinon Road,,,,,,,,
268431404,268429217,0,24695667,trunk,False,137.602,"LINESTRING (123.307593 9.3094696, 123.3063452 9.309346700000001)",2,San Juan Street,30,,,,,,,
268431404,7572174480,0,287496482,primary,False,15.423,"LINESTRING (123.307593 9.3094696, 123.3075984 9.309331)",2,Governor Perdices Street,40,,,7,,,,
268431404,268429893,0,710507608,tertiary,False,138.587,"LINESTRING (123.307593 9.3094696, 123.3088478 9.309611200000001)",2,San Juan Street,30,,,,,,,
268431404,7572174483,0,710507609,trunk,False,9.106,"LINESTRING (123.307593 9.3094696, 123.307589 9.3095514)",2,Governor Perdices Street,40,,,7,,,,
268431407,5730143159,0,24695717,trunk,False,143.737,"LINESTRING (123.3029119 9.299464800000001, 123.3036759 9.3005148)",,Lamberto Macias,,,,7,,,,
268431407,8393135485,0,24695717,trunk,False,40.547,"LINESTRING (123.3029119 9.299464800000001, 123.302708 9.2991607)",,Lamberto Macias,,,,7,,,,
268431407,8392948318,0,49037626,primary,False,89.042,"LINESTRING (123.3029119 9.299464800000001, 123.3022405 9.2999145)",,Romero Road,,,,,,,,
268431407,1417715705,0,109375298,primary,False,26.361,"LINESTRING (123.3029119 9.299464800000001, 123.3031512 9.299485600000001)",2,Governor Perdices Street,,,,7,,,,
268431418,1251031960,0,109228585,footway,False,75.787,"LINESTRING (123.3056658 9.3056766, 123.3063558 9.305706300000001)",,,,,,,,,,
